step,scenario_id,scenario_name,packet_role,attack_method,who_sends,channel,payload_summary,timestamp_status,nonce_status,hmac_status,filter_decision,rejection_reason,detected_by,explanation
1,10,ME-S2   Malicious RSU,LEGITIMATE,,Vehicle V1,V1→RSU (Channel A),topology: V1 sees V2 at t=10,FRESH,REUSED,VALID,ACCEPTED,,—,Real link V1↔V2 reported to RSU — accepted
2,10,ME-S2   Malicious RSU,LEGITIMATE,,RSU (relaying),RSU→Controller (Channel B),Legitimate aggregate: V1 sees V2 (reporter=V1),FRESH,REUSED,VALID,ACCEPTED,,—,Legitimate RSU aggregate — accepted
3,10,ME-S2   Malicious RSU,ATTACK,PHANTOM_REPORTER_INJECTED_BY_RSU,Malicious RSU,RSU→Controller (Channel B),Phantom: V3 also observed V1↔V2 — injected by RSU,FRESH,REUSED,VALID,ACCEPTED,TRUSTED_RSU_BYPASS,NS3_PEM_LAYER,RSU has valid K_session → HMAC is valid → ACCEPTED by filter. Controller sees phantom path V1→V3→V2. Caught by NS-3 PEM reporter-density.
4,10,ME-S2   Malicious RSU,ATTACK,PHANTOM_REPORTER_INJECTED_BY_RSU,Malicious RSU,RSU→Controller (Channel B),Phantom: V4 also observed V1↔V2 — injected by RSU,FRESH,REUSED,VALID,ACCEPTED,TRUSTED_RSU_BYPASS,NS3_PEM_LAYER,RSU has valid K_session → HMAC is valid → ACCEPTED by filter. Controller sees phantom path V1→V4→V2. Caught by NS-3 PEM reporter-density.
1,11,"ME-S3   Malicious Controller, No RSU",LEGITIMATE,,Vehicle V1,V1→RSU,topology: V1 sees V2 at t=10,FRESH,REUSED,VALID,ACCEPTED,,—,Legitimate topology beacon — passes filter
2,11,"ME-S3   Malicious Controller, No RSU",ATTACK,INTERNAL_PHANTOM_REPORTER,Controller,controller_memory,Inserts phantom entry: V3 also sees V1↔V2,N/A,N/A,N/A,BYPASSED,,NS3_PEM_LAYER,Controller adds phantom reporter internally — no radio packet to filter
1,12,"ME-S4   Malicious Controller, With RSU",LEGITIMATE,,Vehicle V1,V1→RSU,topology: V1 sees V2 at t=10,FRESH,REUSED,VALID,ACCEPTED,,—,Legitimate topology beacon — passes filter
2,12,"ME-S4   Malicious Controller, With RSU",ATTACK,INTERNAL_PHANTOM_REPORTER,Controller,controller_memory,Inserts phantom entry: V3 also sees V1↔V2,N/A,N/A,N/A,BYPASSED,,NS3_PEM_LAYER,Controller adds phantom reporter internally — no radio packet to filter
1,4,"TTW-S4  Malicious Controller, With RSU",LEGITIMATE,,Vehicle V1,V1→RSU,topology: V1 sees V2 at t=10,FRESH,REUSED,VALID,ACCEPTED,,—,Normal topology report — passes crypto filter as expected
2,4,"TTW-S4  Malicious Controller, With RSU",ATTACK,INTERNAL_TABLE_REWRITE,Controller,controller_memory,Rewrites table: V1 still sees V2 at forged t=20,N/A,N/A,N/A,BYPASSED,,NS3_PEM_LAYER,Controller edits its own table — no radio packet exists to filter
